"","SOM","SPOM","SEDBAC","WATBAC","PHY","ZOO","DETAMPS","BIVALVS","FILTFEDSHRS","CARPOLS","THISCUS","ECHCORS","DETCARSHRS","PAGURIS","CEPHALS","OPHIURS","DETPOLRS","CARCRAS","ANTHOZOS","METRIDTR","CARCRATR","SUSGASTR","CARPOLTR","SUDECRATR","MYTILUTR","NUDIBRTR","BALANOTR","JASSATR","DETPOLTR","BIVALVTR","OPHIURTR","LEPTRETR","SDAMPTR","ASTRUBU","PSAMMU","DETCRARU","CARPOLPU","NEPHTYU","NEMERTU","PLEURO","ECHVIP","CALLSP","POMSP","AMMOD","GADID","MULSUR","DIC","EXP","BUR"
"THISCUS",0.0155236214985776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000916980484157795,0,0,0.000305505200233714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335163656530536,0,0.00175725838399434,0,0,6.26469553125777e-05,0.000102199480877578,0.00528074523773558,0.00360894753945733,0
"ECHCORS",0.777211107592373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399777414975709,0.049859583085431,0,0,0,0,0.0240101717490038,0,0.00251053345455231,0,0,4.90130191071652e-05,0,0.273644897255552,0.0851581527821641,0
"DETCARSHRS",0.00602415695202741,0,0,0,0,0,0,0,0.000199007496583494,0.000377319468727118,0,0,0.000230749098910466,0,0.000270770291101994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378585418484474,0,0,0,0.000383261584171853,0,0.000338866008661773,0.000291507683890635,0.000293996607034496,6.31218420812654e-05,0,0.00146400401469105,0.000384259906813439,0
"PAGURIS",0.00433453655321899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517711609368687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000698655963053481,0,0.000607554555337575,0,0,5.67349624091759e-05,9.02015154089981e-05,0.0013416835352819,0.000727630214527753,0
"CEPHALS",0.00556775214119877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332576346669798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633040492944013,0.000892951936656385,0,0.000104676124732102,0,0.00135280384156787,0.000925701239919563,0
"OPHIURS",0.0216519254731244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012532489043851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163027336762848,0.00205357770776562,0.00179700207398844,0,0,0,0.00195894930654794,0,0.00115594467086888,0,0,7.51726888330503e-05,0.00013551158665575,0.00570071747919011,0.00207855149435746,0
"DETPOLRS",1.12524613893575,0,0,0,0,0,0,0,0.000353643222643023,0.0113271776508743,0,0,0.000503078838553989,0,0.000873351438582261,0.00275739460413119,0,0.000268503604961969,0,0,0,0,0.0361828457818951,0,0,0,0,0,0,0,0,5.61053440422204e-05,0,0.00727440669370866,0.059991968183711,0,0.0563806505150654,0.330919820688043,0,0.0342439308235393,0,0.00227183820752594,0.000961404360673554,0.000999100469337349,7.21355672835904e-05,0.000126847319504204,0.384198134793975,0.195137758372889,0
"CARCRAS",0.00219825132236171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133542572067388,0,0,0.000188199384006878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152110492899169,0,0,0,0,0,0.000151529106187173,0.000160633416256456,0.000142000023545694,0,0,5.29060299617089e-05,7.60243741137006e-05,0.000554985383272261,0.000150142429963424,0
"ANTHOZOS",0.000100977362043878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70962030688848e-05,0,0,0,0,0,0,0,0,0,1.71560822461583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51441840831416e-05,0,3.35253538964155e-05,1.71899007618362e-05,0
"METRIDTR",0,0.10705426373118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231538611609192,0,0,0,0,0,0.00106870573962294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08803384926643e-05,0,0.111862118702804,0.00840087543150385,0
"CARCRATR",0,0.157599736793912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243944845196276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001000748753197,0.000172493208005096,0.0490925618390145,0.066941401004473,0
"SUSGASTR",0,0.0951383302276957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018449250654103,0.01774138578979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75296046523578e-05,0.000142044300370529,0.0327381641680404,0.024654282323668,0
"CARPOLTR",0,0.0703414482653293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061186994216543,0.00602948835093725,0.0079294835544848,0,0,0,0,0,0,0,0,0,0,0.00287756640566202,0.00669755779188007,0,0,0.00756113411701463,0,0,0,0,0,0,9.54199412986667e-05,0.000164370094239113,0.021255702123755,0.00715022585808026,0
"SUDECRATR",0,0.10965944987257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244382489003091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089930933768122,0,0,0,0,0.00519662403914771,0,0,0,6.51411214143098e-05,0.000114157687608422,0.0385413897900075,0.032071243852096,0
"MYTILUTR",0,0.00303717985065812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237923196090319,0.000236817371127805,0.000239892563755398,0,0,0,0,0,0,0,0,0,0,0.000238808051824948,0.000245607821943532,0,0,0.000239408994327274,0,0.000240792581954955,0,0,0,0,5.01726658375139e-05,7.68388065465654e-05,0.000959944170196845,0.000236837012887499,0
"NUDIBRTR",0,0.00325216887771012,0,0,0,0,0,0,0,0,0,0,0.000291214931361849,0,0,0,0,0,0,0,0,0,0,0,0,0.000819275086626047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25389090731618e-05,0,0.00118680352618916,0.000928305360784451,0
"BALANOTR",0,0.0433596626362786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478805156944942,0.00407779442335776,0.00406936724515449,0.00422462171324272,0,0,0,0,0,0,0,0,0,0,0.00316557251867305,0.00426794340811131,0,0,0,0,0,0,0,0,0,6.95606492027817e-05,0,0.0139649218832753,0.00440890516631753,0
"JASSATR",0,0.0486320913765632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442034186385552,0.00445802287943267,0,0,0,0,0,0,0,0,0,6.49438396200819e-05,7.40912378137357e-05,0.00336752494099784,0,0.00357084947000922,0,0.00476469177084866,0,0.00431256515895876,0.00289183068543019,0,0,0,6.6448499354182e-05,0.000113994785930826,0.0156204923277338,0.00462403225626272,0
